epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.44764959825318434,0.8449655172413794,1.0749766569096466,0.7262068965517241
2,0.21192789713267624,0.9286206896551724,0.8063430740844844,0.7437931034482759
3,0.14226414503670973,0.9522758620689655,0.7062864589691162,0.8072413793103448
4,0.10913112712111966,0.962551724137931,0.76707460877325,0.7875862068965517
5,0.10185033495878351,0.9657931034482758,0.5912851042214556,0.8475862068965517
6,0.08556803324998452,0.9716551724137931,0.47113641289544517,0.8686206896551724
7,0.07883371134523046,0.9737931034482759,0.4976439422573132,0.88
8,0.05275230536420412,0.9813793103448276,0.666125149638653,0.8644827586206897
9,0.049791565120348644,0.9826896551724138,0.5246852026295302,0.8572413793103448
10,0.061437898645884004,0.9816551724137931,0.5549296387516219,0.8658620689655172
11,0.072389453453622,0.977448275862069,0.29752823123194533,0.923448275862069
12,0.03238132412394445,0.9904137931034482,0.3657653331390486,0.9027586206896552
13,0.031116049561280244,0.9893103448275862,0.6800184348405435,0.8413793103448276
14,0.05608780079331763,0.9817241379310345,0.6473419361484462,0.8548275862068966
15,0.0493373896506904,0.9839310344827586,0.6548349448452415,0.8351724137931035
